Time,X,Y,Z,Event
0.650,-0.832000017,0.588000000,-0.368000001,0
0.660,-0.416000009,0.547999978,-0.347999990,0
0.670,-0.340000004,0.603999972,-0.312000006,0
0.680,-0.356000006,0.572000027,-0.319999993,0
0.690,-0.316000015,0.607999980,-0.328000009,0
0.700,-0.219999999,0.596000016,-0.360000014,0
0.710,-0.208000004,0.660000026,-0.412000000,0
0.720,-0.296000004,0.703999996,-0.483999997,0
0.730,-0.296000004,0.703999996,-0.483999997,0
0.740,-0.259999990,0.699999988,-0.456000000,0
0.750,-0.195999995,0.663999975,-0.391999990,0
0.760,-0.195999995,0.667999983,-0.388000011,0
0.770,-0.159999996,0.635999978,-0.388000011,0
0.780,-0.180000007,0.663999975,-0.379999995,0
0.790,-0.256000012,0.703999996,-0.404000014,0
0.800,-0.195999995,0.588000000,-0.432000011,0
0.810,-0.096000001,0.624000013,-0.275999993,0
0.820,-0.391999990,0.896000028,-0.512000024,0
0.830,-0.444000006,0.843999982,-0.560000002,0
0.840,-0.180000007,0.703999996,-0.303999990,0
0.850,-0.259999990,0.815999985,-0.296000004,0
0.860,-0.316000015,0.779999971,-0.451999992,0
0.870,-0.316000015,0.779999971,-0.451999992,0
0.880,-0.195999995,0.667999983,-0.375999987,0
0.890,-0.208000004,0.703999996,-0.372000009,0
0.900,-0.256000012,0.699999988,-0.423999995,0
0.910,-0.239999995,0.716000021,-0.419999987,0
0.920,-0.231999993,0.736000001,-0.400000006,0
0.930,-0.263999999,0.768000007,-0.400000006,0
0.940,-0.287999988,0.763999999,-0.375999987,0
0.950,-0.287999988,0.772000015,-0.384000003,0
0.960,-0.284000009,0.748000026,-0.372000009,0
0.970,-0.296000004,0.768000007,-0.356000006,0
0.980,-0.344000012,0.748000026,-0.375999987,0
0.990,-0.316000015,0.720000029,-0.351999998,0
1.000,-0.272000015,0.688000023,-0.335999995,0
1.010,-0.272000015,0.688000023,-0.335999995,0
1.020,-0.291999996,0.708000004,-0.360000014,0
1.030,-0.303999990,0.727999985,-0.340000004,0
1.040,-0.259999990,0.736000001,-0.356000006,0
1.050,-0.272000015,0.843999982,-0.347999990,0
1.060,-0.256000012,0.828000009,-0.328000009,0
1.070,-0.307999998,0.740000010,-0.375999987,0
1.080,-0.287999988,0.727999985,-0.307999998,0
1.090,-0.291999996,0.736000001,-0.244000003,0
1.100,-0.280000001,0.727999985,-0.252000004,0
1.110,-0.284000009,0.723999977,-0.275999993,0
1.120,-0.287999988,0.720000029,-0.291999996,0
1.130,-0.287999988,0.740000010,-0.244000003,0
1.140,-0.316000015,0.772000015,-0.231999993,0
1.150,-0.360000014,0.804000020,-0.287999988,0
1.160,-0.360000014,0.804000020,-0.287999988,0
1.170,-0.372000009,0.796000004,-0.372000009,0
1.180,-0.351999998,0.759999990,-0.372000009,0
1.190,-0.319999993,0.740000010,-0.372000009,0
1.200,-0.360000014,0.748000026,-0.319999993,0
1.210,-0.368000001,0.751999974,-0.228000000,0
1.220,-0.400000006,0.751999974,-0.159999996,0
1.230,-0.368000001,0.751999974,-0.228000000,0
1.240,-0.284000009,0.796000004,-0.052000001,0
1.250,-0.319999993,0.759999990,0.228000000,0
1.260,-0.388000011,0.708000004,0.252000004,0
1.270,-0.444000006,0.716000021,0.008000000,0
1.280,-0.368000001,0.716000021,-0.195999995,0
1.290,-0.287999988,0.740000010,-0.488000005,0
1.300,-0.287999988,0.740000010,-0.488000005,0
1.310,-0.296000004,0.695999980,-0.527999997,0
1.320,-0.319999993,0.635999978,-0.407999992,0
1.330,-0.463999987,0.763999999,0.059999999,0
1.340,-0.708000004,0.864000022,0.096000001,0
1.350,-0.416000009,0.768000007,-0.231999993,0
1.360,-0.272000015,0.748000026,-0.239999995,0
1.370,-0.416000009,0.804000020,-0.159999996,0
1.380,-0.432000011,0.796000004,-0.195999995,0
1.390,-0.360000014,0.708000004,-0.208000004,0
1.400,-0.351999998,0.716000021,-0.184000000,0
1.410,-0.324000001,0.703999996,-0.151999995,0
1.420,-0.372000009,0.699999988,-0.115999997,0
1.430,-0.416000009,0.716000021,-0.167999998,0
1.440,-0.384000003,0.688000023,-0.180000007,0
1.450,-0.384000003,0.688000023,-0.180000007,0
1.460,-0.351999998,0.688000023,-0.071999997,0
1.470,-0.347999990,0.703999996,-0.208000004,0
1.480,-0.379999995,0.688000023,-0.211999997,0
1.490,-0.412000000,0.716000021,-0.180000007,0
1.500,-0.412000000,0.671999991,-0.187999994,0
1.510,-0.500000000,0.639999986,-0.079999998,0
1.520,-0.536000013,0.639999986,-0.079999998,0
1.530,-0.500000000,0.624000013,-0.100000001,0
1.540,-0.492000014,0.620000005,-0.100000001,0
1.550,-0.500000000,0.635999978,-0.079999998,0
1.560,-0.512000024,0.635999978,-0.128000006,0
1.570,-0.500000000,0.579999983,-0.143999994,0
1.580,-0.500000000,0.588000000,-0.159999996,0
1.590,-0.500000000,0.588000000,-0.159999996,0
1.600,-0.540000021,0.607999980,-0.200000003,0
1.610,-0.488000005,0.607999980,-0.192000002,0
1.620,-0.444000006,0.575999975,-0.256000012,0
1.630,-0.351999998,0.523999989,-0.128000006,0
1.640,-0.239999995,0.495999992,0.016000001,0
1.650,-0.167999998,0.448000014,0.096000001,0
1.660,-0.776000023,0.572000027,-0.800000012,0
1.670,-1.172000051,0.568000019,-0.691999972,0
1.680,-0.768000007,0.632000029,-0.104000002,0
1.690,-0.451999992,0.527999997,-0.115999997,0
1.700,-0.435999990,0.479999989,-0.092000000,0
1.710,-0.476000011,0.508000016,-0.100000001,0
1.720,-0.611999989,0.575999975,-0.096000001,0
1.730,-0.611999989,0.575999975,-0.096000001,0
1.740,-0.639999986,0.568000019,-0.100000001,0
1.750,-0.607999980,0.527999997,-0.100000001,0
1.760,-0.532000005,0.519999981,-0.096000001,0
1.770,-0.508000016,0.508000016,-0.104000002,0
1.780,-0.508000016,0.540000021,-0.104000002,0
1.790,-0.540000021,0.560000002,-0.128000006,0
1.800,-0.515999973,0.560000002,-0.096000001,0
1.810,-0.500000000,0.564000010,-0.071999997,0
1.820,-0.540000021,0.555999994,-0.156000003,0
1.830,-0.508000016,0.572000027,-0.131999999,0
1.840,-0.483999997,0.588000000,-0.123999998,0
1.850,-0.515999973,0.624000013,-0.143999994,0
1.860,-0.488000005,0.624000013,-0.136000007,0
1.870,-0.508000016,0.592000008,-0.136000007,0
1.880,-0.508000016,0.592000008,-0.136000007,0
1.890,-0.532000005,0.632000029,-0.192000002,0
1.900,-0.544000030,0.643999994,-0.159999996,0
1.910,-0.544000030,0.635999978,-0.123999998,0
1.920,-0.515999973,0.635999978,-0.123999998,0
1.930,-0.479999989,0.624000013,-0.115999997,0
1.940,-0.476000011,0.607999980,-0.128000006,0
1.950,-0.500000000,0.624000013,-0.128000006,0
1.960,-0.483999997,0.607999980,-0.128000006,0
1.970,-0.463999987,0.603999972,-0.156000003,0
1.980,-0.467999995,0.620000005,-0.151999995,0
1.990,-0.479999989,0.635999978,-0.192000002,0
2.000,-0.463999987,0.652000010,-0.164000005,0
2.010,-0.500000000,0.620000005,-0.175999999,0
2.020,-0.500000000,0.620000005,-0.175999999,0
2.030,-0.488000005,0.635999978,-0.151999995,0
2.040,-0.500000000,0.588000000,-0.136000007,0
2.050,-0.479999989,0.624000013,-0.128000006,0
2.060,-0.483999997,0.611999989,-0.143999994,0
2.070,-0.500000000,0.624000013,-0.136000007,0
2.080,-0.500000000,0.624000013,-0.136000007,0
2.090,-0.483999997,0.624000013,-0.128000006,0
2.100,-0.479999989,0.607999980,-0.136000007,0
2.110,-0.479999989,0.607999980,-0.128000006,0
2.120,-0.463999987,0.607999980,-0.128000006,0
2.130,-0.483999997,0.635999978,-0.123999998,0
2.140,-0.483999997,0.611999989,-0.136000007,0
2.150,-0.500000000,0.592000008,-0.128000006,0
2.160,-0.488000005,0.624000013,-0.128000006,0
2.170,-0.488000005,0.624000013,-0.128000006,0
2.180,-0.500000000,0.620000005,-0.128000006,0
2.190,-0.519999981,0.639999986,-0.128000006,0
2.200,-0.500000000,0.620000005,-0.104000002,0
2.210,-0.479999989,0.624000013,-0.115999997,0
2.220,-0.483999997,0.639999986,-0.136000007,0
2.230,-0.515999973,0.624000013,-0.115999997,0
2.240,-0.500000000,0.624000013,-0.128000006,0
2.250,-0.476000011,0.624000013,-0.123999998,0
2.260,-0.467999995,0.624000013,-0.156000003,0
2.270,-0.483999997,0.632000029,-0.148000002,0
2.280,-0.479999989,0.607999980,-0.119999997,0
2.290,-0.483999997,0.624000013,-0.100000001,0
2.300,-0.476000011,0.635999978,-0.100000001,0
2.310,-0.476000011,0.635999978,-0.100000001,0
2.320,-0.500000000,0.624000013,-0.119999997,0
2.330,-0.483999997,0.624000013,-0.115999997,0
2.340,-0.479999989,0.635999978,-0.112000003,0
2.350,-0.479999989,0.652000010,-0.112000003,0
2.360,-0.488000005,0.635999978,-0.128000006,0
2.370,-0.476000011,0.624000013,-0.128000006,0
2.380,-0.495999992,0.635999978,-0.143999994,0
2.390,-0.463999987,0.635999978,-0.159999996,0
2.400,-0.463999987,0.607999980,-0.143999994,0
2.410,-0.492000014,0.624000013,-0.128000006,0
2.420,-0.479999989,0.611999989,-0.128000006,0
2.430,-0.483999997,0.652000010,-0.136000007,0
2.440,-0.500000000,0.656000018,-0.143999994,0
2.450,-0.492000014,0.652000010,-0.123999998,0
2.460,-0.492000014,0.652000010,-0.123999998,0
2.470,-0.495999992,0.635999978,-0.259999990,0
2.480,-0.508000016,0.652000010,-0.123999998,0
2.490,-0.479999989,0.635999978,-0.119999997,0
2.500,-0.488000005,0.624000013,-0.131999999,0
2.510,-0.476000011,0.632000029,-0.128000006,0
2.520,-0.467999995,0.635999978,-0.131999999,0
2.530,-0.463999987,0.607999980,-0.143999994,0
2.540,-0.467999995,0.611999989,-0.159999996,0
2.550,-0.463999987,0.615999997,-0.136000007,0
2.560,-0.483999997,0.632000029,-0.128000006,0
2.570,-0.483999997,0.643999994,-0.128000006,0
2.580,-0.483999997,0.624000013,-0.136000007,0
2.590,-0.479999989,0.632000029,-0.143999994,0
2.600,-0.479999989,0.632000029,-0.143999994,0
2.610,-0.483999997,0.643999994,-0.131999999,0
2.620,-0.463999987,0.736000001,-0.143999994,0
2.630,-0.483999997,0.632000029,-0.143999994,0
2.640,-0.508000016,0.632000029,-0.143999994,0
2.650,-0.504000008,0.628000021,-0.164000005,0
2.660,-0.508000016,0.635999978,-0.143999994,0
2.670,-0.483999997,0.632000029,-0.128000006,0
2.680,-0.456000000,0.624000013,-0.156000003,0
2.690,-0.488000005,0.643999994,-0.159999996,0
2.700,-0.488000005,0.635999978,-0.159999996,0
2.710,-0.451999992,0.624000013,-0.143999994,0
2.720,-0.463999987,0.639999986,-0.164000005,0
2.730,-0.479999989,0.635999978,-0.128000006,0
2.740,-0.456000000,0.632000029,-0.136000007,0
2.750,-0.456000000,0.632000029,-0.136000007,0
2.760,-0.463999987,0.635999978,-0.164000005,0
2.770,-0.500000000,0.667999983,-0.151999995,0
2.780,-0.479999989,0.643999994,-0.159999996,0
2.790,-0.483999997,0.639999986,-0.136000007,0
2.800,-0.495999992,0.643999994,-0.143999994,0
2.810,-0.500000000,0.624000013,-0.151999995,0
2.820,-0.479999989,0.624000013,-0.151999995,0
2.830,-0.500000000,0.620000005,-0.143999994,0
2.840,-0.483999997,0.624000013,-0.136000007,0
2.850,-0.488000005,0.624000013,-0.143999994,0
2.860,-0.500000000,0.635999978,-0.208000004,0
2.870,-0.500000000,0.624000013,-0.167999998,0
2.880,-0.456000000,0.624000013,-0.180000007,0
2.890,-0.456000000,0.624000013,-0.180000007,0
2.900,-0.463999987,0.603999972,-0.164000005,0
2.910,-0.463999987,0.607999980,-0.167999998,0
2.920,-0.479999989,0.611999989,-0.180000007,0
2.930,-0.448000014,0.611999989,-0.195999995,0
2.940,-0.456000000,0.615999997,-0.208000004,0
2.950,-0.456000000,0.588000000,-0.228000000,0
2.960,-0.500000000,0.600000024,-0.219999999,0
2.970,-0.500000000,0.588000000,-0.211999997,0
2.980,-0.495999992,0.568000019,-0.231999993,0
2.990,-0.515999973,0.572000027,-0.216000006,0
3.000,-0.495999992,0.568000019,-0.256000012,0
3.010,-0.500000000,0.575999975,-0.252000004,0
3.020,-0.544000030,0.572000027,-0.252000004,0
3.030,-0.551999986,0.560000002,-0.228000000,0
3.040,-0.551999986,0.560000002,-0.228000000,0
3.050,-0.592000008,0.527999997,-0.244000003,0
3.060,-0.635999978,0.560000002,-0.244000003,0
3.070,-0.643999994,0.560000002,-0.284000009,0
3.080,-0.639999986,0.564000010,-0.347999990,0
3.090,-0.596000016,0.547999978,-0.379999995,0
3.100,-0.583999991,0.568000019,-0.439999998,0
3.110,-0.560000002,0.540000021,-0.451999992,0
3.120,-0.532000005,0.568000019,-0.463999987,0
3.130,-0.540000021,0.611999989,-0.544000030,0
3.140,-0.472000003,0.688000023,-0.564000010,0
3.150,-0.479999989,0.716000021,-0.515999973,0
3.160,-0.432000011,0.779999971,-0.451999992,0
3.170,-0.456000000,0.663999975,-0.444000006,0
3.180,-0.456000000,0.663999975,-0.444000006,0
3.190,-0.500000000,0.635999978,-0.400000006,0
3.200,-0.479999989,0.635999978,-0.391999990,0
3.210,-0.495999992,0.588000000,-0.416000009,0
3.220,-0.467999995,0.607999980,-0.423999995,0
3.230,-0.479999989,0.624000013,-0.416000009,0
3.240,-0.451999992,0.635999978,-0.451999992,0
3.250,-0.388000011,0.635999978,-0.448000014,0
3.260,-0.388000011,0.624000013,-0.479999989,0
3.270,-0.347999990,0.620000005,-0.483999997,0
3.280,-0.356000006,0.579999983,-0.467999995,0
3.290,-0.356000006,0.588000000,-0.488000005,0
3.300,-0.400000006,0.568000019,-0.532000005,0
3.310,-0.435999990,0.564000010,-0.551999986,0
3.320,-0.435999990,0.564000010,-0.551999986,0
3.330,-0.483999997,0.527999997,-0.547999978,0
3.340,-0.500000000,0.551999986,-0.572000027,0
3.350,-0.519999981,0.568000019,-0.579999983,0
3.360,-0.551999986,0.547999978,-0.592000008,0
3.370,-0.564000010,0.523999989,-0.615999997,0
3.380,-0.540000021,0.523999989,-0.639999986,0
3.390,-0.476000011,0.479999989,-0.611999989,0
3.400,-0.448000014,0.479999989,-0.671999991,0
3.410,-0.432000011,0.492000014,-0.708000004,0
3.420,-0.324000001,0.504000008,-0.720000029,0
3.430,-0.272000015,0.523999989,-0.691999972,0
3.440,-0.291999996,0.508000016,-0.691999972,0
3.450,-0.259999990,0.412000000,-0.736000001,0
3.460,-0.195999995,0.432000011,-0.815999985,0
3.470,-0.195999995,0.432000011,-0.815999985,0
3.480,-0.195999995,0.483999997,-0.815999985,0
3.490,-0.208000004,0.448000014,-0.776000023,0
3.500,-0.092000000,0.412000000,-0.667999983,0
3.510,0.020000000,0.407999992,-0.699999988,0
3.520,-0.020000000,0.412000000,-0.740000010,0
3.530,0.028000001,0.395999998,-0.671999991,0
3.540,0.059999999,0.351999998,-0.639999986,0
3.550,-0.035999998,0.351999998,-0.680000007,0
3.560,-0.112000003,0.368000001,-0.755999982,0
3.570,-0.128000006,0.347999990,-0.740000010,0
3.580,-0.104000002,0.316000015,-0.744000018,0
3.590,-0.064000003,0.287999988,-0.744000018,0
3.600,-0.052000001,0.256000012,-0.755999982,0
3.610,-0.052000001,0.256000012,-0.755999982,0
3.620,0.012000000,0.203999996,-0.720000029,0
3.630,0.044000000,0.192000002,-0.731999993,0
3.640,0.079999998,0.175999999,-0.772000015,0
3.650,0.068000004,0.123999998,-0.740000010,0
3.660,0.075999998,0.108000003,-0.736000001,0
3.670,0.100000001,0.175999999,-0.708000004,0
3.680,0.096000001,0.175999999,-0.639999986,0
3.690,0.048000000,0.219999999,-0.628000021,0
3.700,0.028000001,0.219999999,-0.628000021,0
3.710,0.032000002,0.203999996,-0.639999986,0
3.720,0.059999999,0.224000007,-0.615999997,0
3.730,0.048000000,0.195999995,-0.656000018,0
3.740,0.156000003,0.180000007,-0.776000023,0
3.750,0.156000003,0.247999996,-0.671999991,0
3.760,0.156000003,0.247999996,-0.671999991,0
3.770,0.268000007,0.112000003,-0.544000030,0
3.780,0.303999990,0.140000001,-0.564000010,0
3.790,0.303999990,0.211999997,-0.583999991,0
3.800,0.316000015,0.203999996,-0.607999980,0
3.810,0.284000009,0.239999995,-0.635999978,0
3.820,0.268000007,0.219999999,-0.615999997,0
3.830,0.307999998,0.192000002,-0.568000019,0
3.840,0.363999993,0.159999996,-0.500000000,0
3.850,1.052000046,0.284000009,-0.884000003,0
3.860,1.407999992,-0.083999999,-1.508000016,0
3.870,0.460000008,0.268000007,-0.143999994,0
3.880,0.463999987,0.460000008,0.259999990,0
3.890,0.407999992,0.368000001,-0.239999995,0
3.900,0.407999992,0.368000001,-0.239999995,0
3.910,0.316000015,0.363999993,-0.671999991,0
3.920,0.395999998,0.316000015,-0.804000020,0
3.930,0.428000003,0.123999998,-0.712000012,0
3.940,0.252000004,0.075999998,-0.439999998,0
3.950,0.351999998,0.316000015,-0.643999994,0
3.960,0.400000006,0.203999996,-0.467999995,0
3.970,0.140000001,-0.175999999,-0.864000022,0
3.980,0.056000002,-0.924000025,-1.407999992,0
3.990,0.316000015,-0.275999993,-0.400000006,0
4.000,0.515999973,0.123999998,-1.312000036,0
4.010,0.656000018,0.024000000,-1.567999959,0
4.020,0.991999984,0.495999992,-0.368000001,0
4.030,1.003999949,0.035999998,0.231999993,0
4.040,0.879999995,-0.423999995,0.268000007,0
4.050,0.879999995,-0.423999995,0.268000007,0
4.060,0.656000018,-0.763999999,-0.583999991,0
4.070,0.635999978,-0.052000001,-0.708000004,0
4.080,0.460000008,0.000000000,-0.708000004,0
4.090,0.291999996,0.048000000,-0.680000007,0
4.100,0.316000015,0.028000001,-0.736000001,0
4.110,0.388000011,0.048000000,-0.755999982,0
4.120,0.460000008,0.096000001,-0.744000018,0
4.130,0.463999987,0.112000003,-0.723999977,0
4.140,0.508000016,0.156000003,-0.744000018,0
4.150,0.560000002,0.164000005,-0.800000012,0
4.160,0.620000005,0.172000006,-0.804000020,0
4.170,0.588000000,0.184000000,-0.804000020,0
4.180,0.652000010,0.156000003,-0.783999979,0
4.190,0.652000010,0.156000003,-0.783999979,0
4.200,0.648000002,0.140000001,-0.751999974,0
4.210,0.652000010,0.123999998,-0.776000023,0
4.220,0.667999983,0.119999997,-0.755999982,0
4.230,0.652000010,0.068000004,-0.744000018,0
4.240,0.639999986,-0.039999999,-0.708000004,0
4.250,0.624000013,0.012000000,-0.740000010,0
4.260,0.675999999,0.159999996,-0.808000028,0
4.270,0.776000023,0.203999996,-0.772000015,0
4.280,0.800000012,0.119999997,-0.708000004,0
4.290,0.796000004,0.100000001,-0.671999991,0
4.300,0.907999992,0.096000001,-0.632000029,0
4.310,1.003999949,0.159999996,-0.600000024,0
4.320,1.003999949,0.156000003,-0.564000010,0
4.330,1.019999981,0.059999999,-0.639999986,0
4.340,1.019999981,0.059999999,-0.639999986,0
4.350,0.959999979,-0.175999999,-0.372000009,0
4.360,0.123999998,-0.259999990,0.540000021,0
4.370,0.635999978,0.216000006,-0.096000001,0
4.380,1.508000016,0.483999997,-1.343999982,0
4.390,0.695999980,0.316000015,-0.948000014,0
4.400,0.259999990,0.284000009,-0.583999991,0
4.410,0.527999997,0.300000012,-0.884000003,0
4.420,0.400000006,0.316000015,-0.903999984,0
4.430,0.395999998,0.395999998,-1.027999997,0
4.440,0.388000011,0.416000009,-1.055999994,0
4.450,0.375999987,0.460000008,-0.839999974,0
4.460,0.351999998,0.368000001,-0.723999977,0
4.470,0.344000012,0.268000007,-0.740000010,0
4.480,0.344000012,0.268000007,-0.740000010,0
4.490,0.356000006,0.224000007,-0.768000007,0
4.500,0.344000012,0.216000006,-0.772000015,0
4.510,0.384000003,0.208000004,-0.740000010,0
4.520,0.463999987,0.224000007,-0.776000023,0
4.530,0.419999987,0.280000001,-0.847999990,0
4.540,0.384000003,0.272000015,-0.800000012,0
4.550,0.495999992,0.164000005,-0.611999989,0
4.560,0.504000008,0.123999998,-0.691999972,0
4.570,0.544000030,0.123999998,-0.691999972,0
4.580,0.536000013,0.096000001,-0.607999980,0
4.590,0.607999980,0.096000001,-0.544000030,0
4.600,0.592000008,0.059999999,-0.527999997,0
4.610,0.656000018,0.079999998,-0.515999973,0
4.620,0.695999980,0.092000000,-0.488000005,0
4.630,0.695999980,0.092000000,-0.488000005,0
4.640,0.723999977,0.092000000,-0.515999973,0
4.650,0.635999978,0.079999998,-0.448000014,0
4.660,0.699999988,0.056000002,-0.347999990,0
4.670,0.847999990,0.131999999,-0.287999988,0
4.680,1.052000046,0.075999998,-0.115999997,0
4.690,1.159999967,0.088000000,-0.335999995,0
4.700,1.215999961,0.119999997,-0.368000001,0
4.710,1.059999943,0.108000003,-0.307999998,0
4.720,0.899999976,0.092000000,-0.280000001,0
4.730,0.879999995,0.108000003,-0.287999988,0
4.740,0.907999992,0.096000001,-0.296000004,0
4.750,0.944000006,0.112000003,-0.307999998,0
4.760,0.939999998,0.140000001,-0.319999993,0
4.770,0.939999998,0.140000001,-0.319999993,0
4.780,0.939999998,0.156000003,-0.356000006,0
4.790,0.972000003,0.119999997,-0.360000014,0
4.800,0.984000027,0.159999996,-0.379999995,0
4.810,1.047999978,0.175999999,-0.416000009,0
4.820,1.059999943,0.192000002,-0.400000006,0
4.830,1.019999981,0.164000005,-0.379999995,0
4.840,0.995999992,0.175999999,-0.391999990,0
4.850,0.995999992,0.175999999,-0.463999987,0
4.860,0.967999995,0.172000006,-0.435999990,0
4.870,0.927999973,0.156000003,-0.435999990,0
4.880,0.931999981,0.151999995,-0.463999987,0
4.890,0.896000028,0.151999995,-0.456000000,0
4.900,0.912000000,0.123999998,-0.456000000,0
4.910,0.896000028,0.096000001,-0.500000000,0
4.920,0.896000028,0.096000001,-0.500000000,0
4.930,0.912000000,0.108000003,-0.512000024,0
4.940,0.896000028,0.112000003,-0.519999981,0
4.950,0.927999973,0.112000003,-0.515999973,0
4.960,0.927999973,0.100000001,-0.527999997,0
4.970,0.888000011,0.112000003,-0.560000002,0
4.980,0.879999995,0.119999997,-0.547999978,0
4.990,0.867999971,0.123999998,-0.504000008,0
5.000,0.836000025,0.112000003,-0.500000000,0
5.010,0.843999982,0.123999998,-0.479999989,0
5.020,0.860000014,0.128000006,-0.483999997,0
5.030,0.896000028,0.123999998,-0.463999987,0
5.040,0.864000022,0.140000001,-0.476000011,0
5.050,0.843999982,0.151999995,-0.479999989,0
5.060,0.843999982,0.151999995,-0.479999989,0
5.070,0.843999982,0.156000003,-0.483999997,0
5.080,0.832000017,0.123999998,-0.479999989,0
5.090,0.847999990,0.187999994,-0.479999989,0
5.100,0.856000006,0.175999999,-0.500000000,0
5.110,0.843999982,0.175999999,-0.504000008,0
5.120,0.867999971,0.156000003,-0.504000008,0
5.130,0.879999995,0.143999994,-0.515999973,0
5.140,0.879999995,0.140000001,-0.512000024,0
5.150,0.875999987,0.128000006,-0.515999973,0
5.160,0.875999987,0.159999996,-0.527999997,0
5.170,0.860000014,0.192000002,-0.540000021,0
5.180,0.860000014,0.203999996,-0.551999986,0
5.190,0.836000025,0.216000006,-0.568000019,0
5.200,0.843999982,0.195999995,-0.532000005,0
5.210,0.843999982,0.195999995,-0.532000005,0
5.220,0.832000017,0.203999996,-0.579999983,0
5.230,0.832000017,0.175999999,-0.479999989,0
5.240,0.828000009,0.175999999,-0.483999997,0
5.250,0.860000014,0.156000003,-0.500000000,0
5.260,0.843999982,0.175999999,-0.512000024,0
5.270,0.843999982,0.203999996,-0.519999981,0
5.280,0.815999985,0.184000000,-0.544000030,0
5.290,0.815999985,0.175999999,-0.540000021,0
5.300,0.796000004,0.164000005,-0.564000010,0
5.310,0.811999977,0.151999995,-0.572000027,0
5.320,0.791999996,0.151999995,-0.527999997,0
5.330,0.796000004,0.123999998,-0.564000010,0
5.340,0.796000004,0.096000001,-0.527999997,0
5.350,0.796000004,0.096000001,-0.527999997,0
5.360,0.815999985,0.128000006,-0.527999997,0
5.370,0.815999985,0.059999999,-0.527999997,0
5.380,0.879999995,0.112000003,-0.500000000,0
5.390,0.867999971,0.128000006,-0.519999981,0
5.400,0.879999995,0.119999997,-0.512000024,0
5.410,0.907999992,0.092000000,-0.515999973,0
5.420,0.924000025,0.059999999,-0.536000013,0
5.430,0.896000028,0.075999998,-0.544000030,0
5.440,0.843999982,0.075999998,-0.547999978,0
5.450,0.843999982,0.079999998,-0.448000014,0
5.460,0.888000011,0.083999999,-0.416000009,0
5.470,0.879999995,0.131999999,-0.483999997,0
5.480,0.843999982,0.131999999,-0.575999975,0
5.490,0.791999996,0.123999998,-0.583999991,0
5.500,0.791999996,0.123999998,-0.583999991,0
5.510,0.796000004,0.123999998,-0.564000010,0
5.520,0.832000017,0.100000001,-0.500000000,0
5.530,0.867999971,0.075999998,-0.500000000,0
